"","topic","gamma","id"
"1",11,0.93999,8
"2",9,0.86299,30
"3",12,0.86763,31
"4",8,0.99807,40
"5",7,0.58479,43
"6",10,0.84816,66
"7",6,0.86584,80
"8",12,0.6458,91
"9",4,0.998,94
"10",10,0.48637,96
"11",4,0.57705,103
"12",2,0.8398,124
"13",4,0.81371,130
"14",11,0.99944,131
"15",4,0.99794,136
"16",2,0.98881,138
"17",8,0.96558,149
"18",2,0.48046,177
"19",6,0.95021,182
"20",8,0.73604,196
"21",4,0.70948,202
"22",1,0.80835,205
"23",1,0.40845,207
"24",11,0.55234,212
"25",12,0.64165,216
"26",8,0.99757,225
"27",4,0.94665,229
"28",7,0.62326,238
"29",7,0.78375,242
"30",7,0.68164,276
"31",6,0.715,278
"32",12,0.89225,284
"33",7,0.99963,293
"34",6,0.35509,298
"35",12,0.91605,303
"36",4,0.48304,304
"37",3,0.65163,310
"38",4,0.39279,317
"39",3,0.51973,320
"40",8,0.71414,322
"41",10,0.91406,326
"42",12,0.76492,331
"43",8,0.99753,332
"44",4,0.99959,346
"45",12,0.99877,349
"46",4,0.45277,359
"47",3,0.74769,367
"48",1,0.96239,371
"49",6,0.9955,372
"50",3,0.49654,375
"51",4,0.80213,379
"52",10,0.43421,380
"53",7,0.34949,382
"54",8,0.99806,389
"55",12,0.57819,391
"56",4,0.83077,392
"57",11,0.75293,393
"58",1,0.4385,397
"59",12,0.94273,398
"60",7,0.41462,399
"61",4,0.97092,420
"62",4,0.78614,424
"63",4,0.99931,432
"64",4,0.88364,436
"65",8,0.99898,442
"66",4,0.99863,453
"67",4,0.51393,454
"68",3,0.72657,459
"69",2,0.43124,492
"70",4,0.89158,495
"71",8,0.99861,538
"72",7,0.9988,548
"73",3,0.99945,558
"74",11,0.62477,559
"75",2,0.36168,591
"76",12,0.99828,593
"77",3,0.85415,595
"78",12,0.8429,604
"79",6,0.99806,628
"80",8,0.59644,646
"81",2,0.87739,653
"82",12,0.5006,661
"83",8,0.99845,670
"84",8,0.99407,672
